year,manufacturer,make,make/model,thefts,production,rate,type,horsepower,reliability,price
2008,KIA,KIA,optima,113,47198,2.39,Car,162,78,3700
2005,GENERAL MOTORS,CHEVROLET,BLAZER S10/T10,12,5018,2.39,MPV,190,80,6000
2009,KIA,KIA,rondo,42,17573,2.39,Car,192,77,5000
2007,NISSAN,NISSAN,maxima,152,63601,2.39,Car,255,85,6000
2014,CHRYSLER,CHRYSLER,300,167,69884,2.39,Car,292,78,22000
2010,KIA,KIA,optima,60,25135,2.39,Car,177,79,8000
2005,NISSAN,INFINITI,FX35,72,30172,2.39,MPV,280,85,6000
2005,DAIMLERCHRYSLER,JEEP,WRANGLER,178,74706,2.38,MPV,190,82,12000
2009,MAZDA,MAZDA,5,53,22248,2.38,MPV,153,83,9000
2008,GENERAL MOTORS,CADILLAC,DTS,97,40809,2.38,Car,275,78,9000
2004,KIA,KIA,amanti,46,19363,2.38,Car,203,68,3000
2014,NISSAN,NISSAN,versa,354,149584,2.37,Car,109,82,12000
2008,VOLVO,VOLVO,S 60,32,13592,2.35,Car,208,87,6000
2007,BMW,BMW,m6,8,3400,2.35,Car,500,78,25000
2005,GENERAL MOTORS,CADILLAC,XLR,9,3828,2.35,Car,320,85,25000
2011,NISSAN,NISSAN,versa,229,0,2.35,Car,109,85,8000
2005,BMW,BMW,6,25,10636,2.35,Car,0,0,0
2004,GENERAL MOTORS,PONTIAC,AZTEK,49,20854,2.35,MPV,185,70,5000
2006,TOYOTA,SCION,tC,189,80576,2.35,Car,160,80,6000
2005,TOYOTA,TOYOTA,corolla,864,368744,2.34,Car,126,82,4000
2006,GENERAL MOTORS,CHEVROLET,HHR,267,113967,2.34,MPV,175,74,3500
2007,MITSUBISHI,MITSUBISHI,endeavor,30,12805,2.34,Car,225,85,6000
2005,TOYOTA,SCION,tC,146,62321,2.34,Car,160,80,5000
2009,GENERAL MOTORS,CHEVROLET,MALIBU,413,176813,2.34,Car,169,81,5500
2007,NISSAN,NISSAN,sentra,225,96584,2.33,Car,140,85,5000
2014,NISSAN,NISSAN,maxima,176,75620,2.33,Car,290,82,16000
2005,NISSAN,NISSAN,frontier pickup,146,62799,2.32,Truck,210,85,9000
2006,KIA,KIA,spectra,184,79152,2.32,Car,126,79,6000
2006,TOYOTA,LEXUS,LS,40,17220,2.32,Car,282,90,7000
2004,MAZDA,MAZDA,6,176,75843,2.32,Car,220,74,5000
2006,SUZUKI,SUZUKI,vitara/grand vitara,107,46223,2.31,MPV,185,77,10000
2007,FORD MOTOR CO,FORD,crown victoria,17,7424,2.29,Car,224,84,3000
2011,FORD MOTOR CO,MERCURY,GRAND MARQUIS,23,0,2.29,Car,239,80,22000
2010,GENERAL MOTORS,CADILLAC,DTS,36,15744,2.29,Car,292,84,15000
2007,CHRYSLER,JEEP,LIBERTY,209,91466,2.29,MPV,210,78,5000
2004,GENERAL MOTORS,CHEVROLET,BLAZER S10/T10,116,50855,2.28,MPV,190,74,6000
2004,SUZUKI,SUZUKI,forenza,57,25032,2.28,Car,126,80,3200
2004,GENERAL MOTORS,PONTIAC,GRAND PRIX,408,179556,2.27,Car,0,0,0
2006,GENERAL MOTORS,CADILLAC,CTS,125,55066,2.27,Car,255,75,5000
2004,FORD MOTOR CO,LINCOLN,TOWN CAR,125,55227,2.26,Car,239,78,7600
2006,GENERAL MOTORS,BUICK,RAINIER,26,11503,2.26,MPV,291,80,5000
2012,GENERAL MOTORS,CHEVROLET,MALIBU,509,225791,2.25,Car,197,80,12000
2004,FORD MOTOR CO,LINCOLN,LS,66,29344,2.25,Car,280,80,5000
2004,SUZUKI,SUZUKI,aerio,37,16459,2.25,Car,125,77,3000
2010,FORD MOTOR CO,FORD,MUSTANG,162,72346,2.24,Car,315,85,15000
2009,KIA,KIA,spectra,135,60296,2.24,Car,126,74,8000
2004,MITSUBISHI,MITSUBISHI,outlander,50,22336,2.24,MPV,160,80,6000
2007,GENERAL MOTORS,CHEVROLET,HHR,223,99681,2.24,MPV,172,70,8000
2010,GENERAL MOTORS,CHEVROLET,COBALT,260,116273,2.24,Car,155,78,8000
2011,NISSAN,NISSAN,sentra,213,0,2.23,Car,140,81,11000
2010,VOLVO,VOLVO,C 70,5,2238,2.23,Car,227,78,12000
2013,BMW,BMW,6,16,7196,2.22,Car,320,80,25000
2012,FORD MOTOR CO,FORD,MUSTANG,178,80487,2.21,Car,305,84,15000
2004,TOYOTA,TOYOTA,corolla,602,272301,2.21,Car,126,83,5000
2004,GENERAL MOTORS,CHEVROLET,CORVETTE,74,33501,2.21,Car,350,82,20000
2008,GENERAL MOTORS,CHEVROLET,HHR,219,99176,2.21,MPV,172,77,7500
2005,MITSUBISHI,MITSUBISHI,endeavor,46,20871,2.2,MPV,225,80,6000
2006,NISSAN,NISSAN,altima,648,294015,2.2,Car,175,85,5000
2012,AUDI,AUDI,A8,10,4538,2.2,Car,0,0,0
2009,GENERAL MOTORS,CHEVROLET,COBALT,312,141588,2.2,Car,155,79,7000
2006,ISUZU,ISUZU,i series pickup,10,4546,2.2,Truck,215,75,10000
2009,GENERAL MOTORS,SATURN,AURA,78,35472,2.2,Car,169,76,8000
2008,TOYOTA,TOYOTA,corolla,374,170360,2.2,Car,126,87,7000
2005,HYUNDAI,HYUNDAI,sonata,175,79781,2.19,Car,162,80,6000
2010,CHRYSLER,DODGE,CALIBER,103,47199,2.18,Car,172,82,6000
2012,VOLVO,VOLVO,XC 90,3,1377,2.18,MPV,240,85,11000
2010,TOYOTA,TOYOTA,CAMRY SOLARA,691,317754,2.17,Car,187,89,14000
2007,MERCEDES-BENZ,MERCEDES-BENZ,220 (s-class),91,41867,2.17,Car,382,80,18000
2004,KIA,KIA,spectra,96,44322,2.17,Car,126,73,2500
2004,NISSAN,NISSAN,350z,87,40255,2.16,Car,287,85,10000
2009,MERCEDES-BENZ,MERCEDES-BENZ,s-class,22,10189,2.16,Car,382,80,14000
2011,NISSAN,NISSAN,altima,387,0,2.16,Car,175,80,8000
2008,AUDI,AUDI,S6,2,928,2.16,Car,435,77,15000
2006,BMW,BMW,6,17,7893,2.15,Car,360,80,12000
2004,TOYOTA,LEXUS,GS,21,9756,2.15,Car,300,90,8000
2006,TOYOTA,LEXUS,SC,15,7008,2.14,Car,288,80,22000
2008,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,215,100805,2.13,MPV,285,79,7500
2004,FORD MOTOR CO,MERCURY,SABLE,90,42236,2.13,Car,157,78,2500
2009,GENERAL MOTORS,CHEVROLET,HHR,172,80781,2.13,MPV,172,79,7400
2013,NISSAN,NISSAN,gt-r,3,1410,2.13,Car,545,82,61500
2004,TOYOTA,LEXUS,IS,24,11308,2.12,Car,215,90,8000
2014,NISSAN,NISSAN,altima,597,281443,2.12,Car,182,83,12000
2005,MAZDA,MAZDA,b series pickup,12,5686,2.11,Truck,154,82,8000
2006,LOTUS,LOTUS,elise,3,1424,2.11,Car,189,71,40000
2007,TOYOTA,TOYOTA,corolla,740,351414,2.11,Car,126,87,8000
2004,FERRARI,FERRARI,360,2,950,2.11,Car,400,75,80000
2007,NISSAN,INFINITI,FX45,1,475,2.11,MPV,320,85,10000
2011,AUDI,AUDI,A8,10,0,2.1,Car,372,80,19000
2009,TOYOTA,SCION,tC,57,27179,2.1,Car,161,82,7000
2006,GENERAL MOTORS,PONTIAC,montana van,44,20984,2.1,MPV,0,0,0
2006,GENERAL MOTORS,PONTIAC,GTO,29,13857,2.09,Car,400,72,25000
2007,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,257,122918,2.09,MPV,291,85,7500
2005,HYUNDAI,HYUNDAI,elantra,277,132495,2.09,Car,138,85,4000
2006,KIA,KIA,sorento,116,55515,2.09,MPV,192,89,6000
2005,MITSUBISHI,MITSUBISHI,montero,8,3829,2.09,MPV,215,75,6500
2004,MERCEDES-BENZ,MERCEDES-BENZ,170 (slk-class),8,3836,2.09,Car,215,75,12000
2013,GENERAL MOTORS,CHEVROLET,CRUZE,433,207657,2.09,Car,138,82,10000
2009,JAGUAR LAND ROVER,JAGUAR,XF,27,12953,2.08,Car,300,80,12000
2009,MAZDA,MAZDA,3,99,47569,2.08,Car,156,84,8000
2008,TOYOTA,SCION,tC,114,54835,2.08,Car,161,70,5000
2014,MERCEDES-BENZ,MERCEDES-BENZ,s-class,30,14442,2.08,Car,449,78,65000
2010,GENERAL MOTORS,CHEVROLET,MALIBU,381,183777,2.07,Car,169,80,8000
2009,FORD MOTOR CO,LINCOLN,TOWN CAR,24,11596,2.07,Car,224,83,40000
2008,SUZUKI,SUZUKI,reno,10,4840,2.07,MPV,103,78,4500
2014,HYUNDAI,HYUNDAI,accent,136,66013,2.06,Car,138,78,10000
2008,MERCEDES-BENZ,MERCEDES-BENZ,cl-class,22,10679,2.06,Car,388,85,17000
2007,GENERAL MOTORS,BUICK,ALLURE,113,54938,2.06,Car,230,88,5000
2014,GENERAL MOTORS,CHEVROLET,SONIC,171,83217,2.05,Car,138,74,10000
2010,GENERAL MOTORS,CHEVROLET,AVEO,65,31692,2.05,Car,106,75,8000
2007,HUMMER,HUMMER,H3,95,46341,2.05,MPV,242,82,12000
2005,GENERAL MOTORS,PONTIAC,G6,128,62481,2.05,Car,0,0,0
2005,NISSAN,NISSAN,xterra,113,55179,2.05,MPV,265,80,6000
2010,NISSAN,NISSAN,versa,162,79164,2.05,Car,122,78,8000
2006,TOYOTA,TOYOTA,CAMRY SOLARA,517,252690,2.05,Car,210,85,9000
2010,CHRYSLER,DODGE,CHALLENGER,106,51812,2.05,Car,372,80,25000
2007,NISSAN,NISSAN,altima,413,202162,2.04,Car,175,84,5000
2011,MAZDA,MAZDA,6,52,0,2.04,Car,0,0,0
2009,TOYOTA,TOYOTA,avalon,45,22030,2.04,Car,268,90,11000
2006,JAGUAR,JAGUAR,s-type,14,6855,2.04,Car,268,82,6000
2014,BMW,BMW,6,15,7346,2.04,Car,315,84,39000
2014,NISSAN,INFINITI,Q50/Q60,117,57334,2.04,Car,328,80,22000
2012,NISSAN,INFINITI,M35h/M37/M56,28,13731,2.04,Car,0,0,0
2005,KIA,KIA,sedona van,156,76527,2.04,MPV,195,70,3000
2007,SUZUKI,SUZUKI,reno,62,30424,2.04,MPV,103,83,6000
2007,FORD MOTOR CO,MERCURY,GRAND MARQUIS,81,39757,2.04,Car,224,80,7000
2014,NISSAN,NISSAN,cube,7,3436,2.04,Car,122,80,16000
2006,AUDI,AUDI,A8,11,5404,2.04,Car,450,80,10000
2012,BMW,BMW,b7,1,492,2.03,Car,540,88,58000
2014,GENERAL MOTORS,CHEVROLET,MALIBU,317,156086,2.03,Car,196,79,12000
2013,KIA,KIA,forte,108,53267,2.03,Car,156,82,12000
2007,JAGUAR,JAGUAR,xk8,6,2965,2.02,Car,300,70,12000
2006,BMW,BMW,m6,2,990,2.02,Car,500,82,25000
2014,KIA,KIA,optima,222,109954,2.02,Car,200,80,12000
2013,BMW,BMW,z4,4,1982,2.02,Car,300,80,35000
2005,FORD MOTOR CO,FORD,RANGER PICKUP,209,103723,2.01,Truck,207,78,12500
2007,KIA,KIA,sorento,64,31798,2.01,MPV,262,84,5200
2011,GENERAL MOTORS,CHEVROLET,CAMARO,196,0,2.01,Car,426,81,14500
2007,MAZDA,MAZDA,5,33,16424,2.01,Car,157,80,4500
2005,VOLKSWAGEN,VOLKSWAGEN,golf/gti,29,14447,2.01,Car,0,0,0
2008,KIA,KIA,rondo,47,23441,2.01,Car,162,82,5000
2013,KIA,KIA,optima,346,172977,2.0,Car,200,80,10000
2005,HONDA,HONDA,civic,577,288917,2.0,Car,115,85,5000
2005,KIA,KIA,sorento,114,57272,1.99,MPV,192,80,5000
2009,NISSAN,NISSAN,350z,1,503,1.99,Car,306,84,12000
2006,DAIMLERCHRYSLER,JEEP,WRANGLER,155,77976,1.99,MPV,205,80,12000
2009,VOLVO,VOLVO,C 70,8,4027,1.99,Car,227,80,9000
2014,KIA,KIA,forte,174,87825,1.98,Car,173,88,12000
2012,NISSAN,NISSAN,maxima,129,65150,1.98,Car,290,82,13000
2012,MAZDA,MAZDA,2,32,16169,1.98,Car,100,80,8000
2011,MERCEDES-BENZ,MERCEDES-BENZ,s-class,19,0,1.97,Car,429,80,25000
2007,GENERAL MOTORS,SATURN,ION,185,94117,1.97,Car,145,77,4500
2008,CHRYSLER,JEEP,GRAND CHEROKEE,123,62654,1.96,MPV,305,80,10000
2013,AUDI,AUDI,A7,13,6626,1.96,Car,310,80,21000
2011,TOYOTA,TOYOTA,matrix,9,0,1.96,Car,132,85,10000
2009,FORD MOTOR CO,FORD,MUSTANG,81,41354,1.96,Car,210,80,12000
2007,AUDI,AUDI,A8,10,5106,1.96,Car,350,82,10000
2005,HONDA,ACURA,TSX,70,35836,1.95,Car,0,0,0
2004,DAIMLERCHRYSLER,CHRYSLER,PACIFICA,192,98340,1.95,MPV,250,70,5000
2006,GENERAL MOTORS,CHEVROLET,UPLANDER VAN,122,62521,1.95,MPV,240,70,4000
2008,JAGUAR LAND ROVER,JAGUAR,XK,3,1542,1.95,Car,300,75,20000
2004,DAIMLERCHRYSLER,JEEP,GRAND CHEROKEE,617,317381,1.94,MPV,210,80,8000
2007,HYUNDAI,HYUNDAI,accent,86,44314,1.94,Car,110,94,3000
2005,ISUZU,ISUZU,ascender,14,7219,1.94,MPV,275,75,9000
2006,TOYOTA,TOYOTA,corolla,653,336871,1.94,Car,126,83,3000
2006,GENERAL MOTORS,SATURN,ION,186,96227,1.93,Car,170,65,3500
2009,GENERAL MOTORS,CADILLAC,DTS,32,16566,1.93,Car,275,85,10000
2005,MAZDA,MAZDA,rx-8,34,17608,1.93,Car,238,70,8000
2013,HYUNDAI,HYUNDAI,accent,174,90149,1.93,Car,138,86,8500
2014,VOLVO,VOLVO,XC 90,4,2076,1.93,MPV,0,0,0
2009,MAZDA,MAZDA,6,76,39504,1.92,Car,170,85,8000
2004,HONDA,ACURA,RSX,39,20280,1.92,Car,210,75,5000
2008,NISSAN,NISSAN,sentra,230,119932,1.92,Car,126,84,6000
2004,DAIMLERCHRYSLER,DODGE,DAKOTA PICKUP,62,32355,1.92,Truck,210,73,6000
2014,GENERAL MOTORS,BUICK,REGAL,37,19340,1.91,Car,259,85,20000
2004,FORD MOTOR CO,FORD,crown victoria,63,32977,1.91,Car,224,80,7000
2004,DAIMLERCHRYSLER,DODGE,CARAVAN/GRAND CARAVAN,162,84965,1.91,MPV,180,80,6000
2013,NISSAN,INFINITI,G37,109,57330,1.9,Car,328,76,14000
2011,GENERAL MOTORS,CHEVROLET,MALIBU,400,0,1.9,Car,197,78,8000
2006,GENERAL MOTORS,BUICK,RENDEZVOUS,96,50649,1.9,MPV,195,81,4000
2004,GENERAL MOTORS,PONTIAC,BONNEVILLE,40,21163,1.89,Car,205,78,5000
2004,HYUNDAI,HYUNDAI,elantra,196,103787,1.89,Car,126,82,4000
2013,MITSUBISHI,MITSUBISHI,lancer,32,16958,1.89,Car,148,79,12000
2005,KIA,KIA,amanti,43,22858,1.88,Car,203,78,4500
2009,MITSUBISHI,MITSUBISHI,eclipse,24,12760,1.88,Car,265,81,12000
2008,FORD MOTOR CO,FORD,FUSION,259,137791,1.88,Car,160,85,5000
2004,BMW,BMW,6,11,5870,1.87,Car,0,0,0
2005,TOYOTA,SCION,XA,60,32132,1.87,Car,108,87,5000
2005,TOYOTA,TOYOTA,tacoma pickup,283,151776,1.86,Truck,240,77,12000
2010,HONDA,HONDA,pilot,42,22528,1.86,MPV,250,85,17000
2006,VOLVO,VOLVO,S 80,14,7567,1.85,Car,208,82,5500
2005,JAGUAR,JAGUAR,xj8/xj8l,8,4330,1.85,Car,294,75,6000
2008,TOYOTA,TOYOTA,4runner,110,59563,1.85,MPV,236,85,12000
2012,PORSCHE,PORSCHE,panamera,13,7056,1.84,Car,300,85,30000
2005,NISSAN,INFINITI,G35,120,65227,1.84,Car,280,80,7000
2004,JAGUAR,JAGUAR,xjr,4,2179,1.84,Car,400,70,10000
2005,JAGUAR,JAGUAR,s-type,25,13629,1.83,Car,270,75,5000
2005,MAZDA,MAZDA,3,158,86184,1.83,Car,160,80,5000
2008,TOYOTA,SCION,XB,111,60553,1.83,Car,158,88,5000
2011,MITSUBISHI,MITSUBISHI,endeavor,22,0,1.83,MPV,225,75,10000
2008,GENERAL MOTORS,PONTIAC,G8,22,12035,1.83,Car,361,84,25000
2004,GENERAL MOTORS,GMC,CANYON PICKUP,39,21402,1.82,Truck,220,85,10000
2004,MAZDA,MAZDA,rx-8,64,35147,1.82,Car,238,83,5000
2012,NISSAN,NISSAN,versa,272,149418,1.82,Car,109,86,7000
2007,GENERAL MOTORS,CADILLAC,CTS,97,53360,1.82,Car,255,84,5000
2007,FORD MOTOR CO,FORD,FUSION,266,146464,1.82,Car,160,78,4500
2006,DAIMLERCHRYSLER,JEEP,LIBERTY,266,146897,1.81,MPV,210,70,7000
2013,AUDI,AUDI,S7,2,1106,1.81,Car,420,78,30000
2014,MITSUBISHI,MITSUBISHI,lancer,39,21571,1.81,Car,148,85,12000
2004,GENERAL MOTORS,BUICK,RENDEZVOUS,123,68043,1.81,MPV,0,0,0
2013,TOYOTA,TOYOTA,corolla,566,313314,1.81,Car,132,85,12000
2007,NISSAN,NISSAN,pathfinder,76,42137,1.8,MPV,266,83,7000
2007,HYUNDAI,HYUNDAI,azera,40,22218,1.8,Car,235,70,5000
2006,NISSAN,INFINITI,G35,107,59442,1.8,Car,280,85,8000
2005,DAIMLERCHRYSLER,CHRYSLER,PT CRUISER,240,133335,1.8,MPV,230,75,3500
2008,VOLKSWAGEN,VOLKSWAGEN,r32,9,5001,1.8,Car,250,80,20000
2009,NISSAN,NISSAN,altima,410,228101,1.8,Car,175,82,5000
2006,TOYOTA,LEXUS,GS,92,51221,1.8,Car,245,87,7000
2004,JAGUAR,JAGUAR,xkr,1,557,1.8,Car,390,80,15000
2009,FORD MOTOR CO,MERCURY,SABLE,11,6146,1.79,Car,263,80,9500
2009,GENERAL MOTORS,CADILLAC,CTS,91,50926,1.79,Car,304,78,8500
2006,HYUNDAI,HYUNDAI,tiburon,41,22959,1.79,Car,172,75,4000
2012,HONDA,ACURA,ZDX,2,1122,1.78,MPV,300,85,25000
2010,BMW,BMW,6,5,2808,1.78,Car,360,75,25000
2011,CHRYSLER,DODGE,AVENGER,73,0,1.78,Car,283,75,13000
2005,TOYOTA,LEXUS,SC,16,9019,1.77,Car,288,85,10000
2008,MITSUBISHI,MITSUBISHI,endeavor,17,9583,1.77,MPV,225,80,5000
2006,NISSAN,INFINITI,FX45,3,1693,1.77,MPV,280,82,7500
2014,GENERAL MOTORS,BUICK,LACROSSE,83,46951,1.77,Car,304,82,20000
2006,GENERAL MOTORS,CADILLAC,XLR,7,3963,1.77,Car,320,80,25000
2006,HONDA,HONDA,s2000,10,5666,1.76,Car,237,85,20000
2013,GENERAL MOTORS,CHEVROLET,MALIBU,373,211357,1.76,Car,197,78,11000
2006,AUDI,AUDI,a6/a6 Quattro/s6/s6 Avant,32,18143,1.76,Car,255,74,7400
2006,DAIMLERCHRYSLER,DODGE,CARAVAN/GRAND CARAVAN,416,235960,1.76,MPV,215,78,5000
2004,DAIMLERCHRYSLER,JEEP,LIBERTY,305,173128,1.76,MPV,210,70,5000
2013,NISSAN,NISSAN,altima,693,393800,1.76,Car,182,84,10000
2006,HYUNDAI,HYUNDAI,elantra,174,99126,1.76,Car,110,82,4500
2009,VOLVO,VOLVO,S 60,12,6837,1.76,Car,218,81,8000
2005,NISSAN,INFINITI,Q45,3,1712,1.75,Car,340,80,5000
2011,CHRYSLER,DODGE,CALIBER,65,0,1.75,Car,158,74,7000
2008,NISSAN,NISSAN,xterra,63,36035,1.75,MPV,261,80,8500
2004,FORD MOTOR CO,FORD,explorer,515,294622,1.75,MPV,210,65,4000
2011,KIA,KIA,forte,91,0,1.75,Car,156,84,8000
2009,TOYOTA,TOYOTA,CAMRY SOLARA,781,447882,1.74,Car,0,0,0
2014,FERRARI,FERRARI,458,2,1150,1.74,Car,570,78,230000
2009,TOYOTA,TOYOTA,corolla,632,363515,1.74,Car,132,88,8000
2011,FORD MOTOR CO,FORD,MUSTANG,107,0,1.74,Car,305,78,12500
2010,CHRYSLER,CHRYSLER,SEBRING CONVERTIBLE,16,9219,1.74,Car,186,75,10000
2007,CHRYSLER,DODGE,GRAND CARAVAN,284,164003,1.73,MPV,215,76,5000
2008,TOYOTA,TOYOTA,avalon,107,61851,1.73,Car,0,0,0
2005,NISSAN,NISSAN,pathfinder,143,82667,1.73,MPV,270,89,7000
2007,GENERAL MOTORS,CHEVROLET,CORVETTE,65,37744,1.72,Car,400,85,30000
2006,MAZDA,MAZDA,5,35,20328,1.72,Car,157,86,3500
2008,FORD MOTOR CO,FORD,crown victoria,16,9299,1.72,Car,224,85,5000
2007,BMW,BMW,m5,2,1163,1.72,Car,500,80,30000
2004,VOLKSWAGEN,VOLKSWAGEN,phaeton,4,2326,1.72,Car,335,70,23000
2007,VOLKSWAGEN,VOLKSWAGEN,jetta,146,84922,1.72,Car,150,85,7000
2011,SAAB,SAAB,43711,3,0,1.71,Car,0,0,0
2010,MITSUBISHI,MITSUBISHI,endeavor,8,4674,1.71,MPV,225,72,13500
2013,KIA,KIA,rio,117,68364,1.71,Car,138,85,10000
2008,GENERAL MOTORS,CHEVROLET,CORVETTE,56,32882,1.7,Car,430,84,30000
2005,SUBARU,SUBARU,baja,14,8244,1.7,MPV,165,85,7500
2012,MERCEDES-BENZ,MERCEDES-BENZ,glk-class,45,26554,1.69,MPV,268,70,15000
2009,HYUNDAI,HYUNDAI,sonata,270,159775,1.69,Car,162,87,5000
2009,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,22,13022,1.69,MPV,285,85,8000
2008,JAGUAR LAND ROVER,LAND ROVER,S-TYPE,3,1779,1.69,Car,0,0,0
2005,AUDI,AUDI,a4/a4 Quattro/s4/s4 Avant,80,47470,1.69,Car,0,0,0
2005,GENERAL MOTORS,CHEVROLET,TRAILBLAZER,311,184671,1.68,MPV,275,75,5000
2013,GENERAL MOTORS,CHEVROLET,SPARK,65,38612,1.68,Car,84,67,13000
2012,BMW,BMW,7,23,13696,1.68,Car,315,76,25000
2004,MERCEDES-BENZ,MERCEDES-BENZ,129 (sl-class),20,11928,1.68,Car,306,78,20000
2014,NISSAN,NISSAN,xterra,21,12525,1.68,MPV,261,78,25000
2005,TOYOTA,TOYOTA,CAMRY SOLARA,732,437173,1.67,Car,210,80,6000
2013,VOLKSWAGEN,VOLKSWAGEN,cc,54,32257,1.67,Car,200,80,12000
2005,NISSAN,NISSAN,quest van,60,35913,1.67,MPV,240,80,5000
2006,JAGUAR,JAGUAR,x-type,10,5994,1.67,Car,227,70,5000
2005,GENERAL MOTORS,PONTIAC,AZTEK,17,10197,1.67,MPV,185,70,5000
2009,TOYOTA,TOYOTA,4runner,13,7803,1.67,MPV,236,90,12000
2008,NISSAN,NISSAN,altima,506,304132,1.66,Car,175,80,6500
2014,TOYOTA,SCION,FR-S,15,9019,1.66,Car,200,85,15000
2013,BMW,BMW,7,20,12059,1.66,Car,315,80,30000
2013,AUDI,AUDI,S6,3,1809,1.66,Car,420,75,30000
2004,NISSAN,INFINITI,FX35,44,26531,1.66,MPV,280,80,5000
2005,DAIMLERCHRYSLER,JEEP,GRAND CHEROKEE,356,214714,1.66,MPV,210,80,6000
2008,GENERAL MOTORS,PONTIAC,TORRENT,47,28370,1.66,MPV,263,80,3000
2006,NISSAN,NISSAN,quest van,42,25378,1.66,MPV,240,79,4000
2009,BMW,BMW,6,4,2420,1.65,Car,360,85,25000
2008,MAZDA,MAZDA,5,27,16389,1.65,Car,153,78,8000
2006,FORD MOTOR CO,FORD,FREESTAR VAN,84,51143,1.64,MPV,203,74,4500
2010,VOLVO,VOLVO,S 40,12,7306,1.64,Car,227,75,7000
2007,GENERAL MOTORS,PONTIAC,G5,54,32894,1.64,Car,148,70,5000
2012,NISSAN,NISSAN,sentra,229,139585,1.64,Car,170,78,8000
2006,MERCEDES-BENZ,MERCEDES-BENZ,203 (c-class),89,54492,1.63,Car,268,78,8500
2011,GENERAL MOTORS,CADILLAC,DTS,28,0,1.63,Car,292,73,15000
2004,DAIMLERCHRYSLER,CHRYSLER,300M,34,20836,1.63,Car,255,75,5000
2008,BENTLEY MOTORS,BENTLEY MOTORS,CONTINENTAL,5,3069,1.63,Car,552,85,50000
2004,TOYOTA,TOYOTA,tacoma pickup,259,159348,1.63,Truck,190,85,7000
2005,GENERAL MOTORS,BUICK,CENTURY,65,40051,1.62,Car,175,75,5000
2007,BMW,BMW,6,11,6779,1.62,Car,360,82,25000
2010,CHRYSLER,JEEP,COMPASS,30,18549,1.62,MPV,172,72,8000
2007,FORD MOTOR CO,FORD,FREESTAR VAN,30,18579,1.61,MPV,203,40,5000
2006,FORD MOTOR CO,FORD,FIVE HUNDRED,134,83031,1.61,Car,203,79,5000
2005,FORD MOTOR CO,FORD,explorer,317,196740,1.61,MPV,210,75,6000
2010,GENERAL MOTORS,CHEVROLET,CAMARO,190,117961,1.61,Car,426,72,15000
2008,CHRYSLER,JEEP,PATRIOT,99,61495,1.61,MPV,172,75,5000
2009,GENERAL MOTORS,CHEVROLET,AVEO,94,58439,1.61,Car,103,75,6000
2011,NISSAN,NISSAN,maxima,101,0,1.61,Car,290,80,10000
2012,GENERAL MOTORS,GMC,CANYON PICKUP,22,13690,1.61,Truck,242,78,11000
2007,NISSAN,NISSAN,xterra,74,46074,1.61,MPV,265,75,8000
2006,HUMMER,HUMMER,H3,116,72227,1.61,MPV,242,80,15000
2005,FORD MOTOR CO,MERCURY,SABLE,58,36134,1.61,Car,203,75,3500
2008,MITSUBISHI,MITSUBISHI,lancer,70,43668,1.6,Car,0,0,0
2008,NISSAN,NISSAN,versa,122,76223,1.6,Car,122,76,5000
2009,NISSAN,NISSAN,sentra,104,65096,1.6,Car,126,85,8000
2013,AUDI,AUDI,A8,9,5635,1.6,Car,333,78,25000
2014,HYUNDAI,HYUNDAI,sonata,230,143998,1.6,Car,190,79,12000
2004,VOLKSWAGEN,VOLKSWAGEN,r32,8,5017,1.59,Car,240,78,15000
2008,MAZDA,MAZDA,tribute,38,23834,1.59,MPV,153,77,7000
2007,NISSAN,INFINITI,M35/M45,48,30144,1.59,Car,275,80,8000
2014,TOYOTA,TOYOTA,camry,741,466187,1.59,Car,178,89,15000
2009,FORD MOTOR CO,FORD,FOCUS,235,148244,1.59,Car,140,70,5000
2010,FORD MOTOR CO,FORD,FOCUS,279,176089,1.58,Car,140,75,5000
2004,NISSAN,INFINITI,G35,139,87780,1.58,Car,260,80,5000
2008,VOLKSWAGEN,VOLKSWAGEN,JETTA GLI,138,87225,1.58,Car,0,0,0
2007,TOYOTA,TOYOTA,yaris,252,159292,1.58,Car,106,91,5000
2007,HONDA,HONDA,accord,664,421206,1.58,Car,190,89,5000
2008,FORD MOTOR CO,FORD,FOCUS,284,180249,1.58,Car,140,80,5000
2005,SAAB,SAAB,9-2x,9,5713,1.58,Car,230,80,8000
2007,CHRYSLER,DODGE,NITRO,133,84441,1.58,MPV,210,80,5000
2008,NISSAN,INFINITI,M35/M45,26,16522,1.57,Car,275,80,10000
2004,HYUNDAI,HYUNDAI,tiburon,33,20977,1.57,Car,172,80,4000
2007,MAZDA,MAZDA,rx-8,9,5728,1.57,Car,238,78,8000
2004,GENERAL MOTORS,CHEVROLET,TRACKER,24,15276,1.57,MPV,128,75,4500
2014,AUDI,AUDI,S7,2,1281,1.56,Car,420,80,40000
2006,MAZDA,MAZDA,rx-8,10,6415,1.56,Car,232,68,7000
2010,AUDI,AUDI,S4/S5,11,7068,1.56,Car,333,82,20000
2007,FORD MOTOR CO,MERCURY,MILAN,55,35375,1.55,Car,221,77,4000
